Dataset,#TrainingRelease,%Training,%TrainDefective,%TestDefective,Classifier,Sampling,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
storm,5,0.179,0.295,0.094,Naive Bayes,Oversampling,No Selection,171.000,12.000,587.000,106.000,0.934,0.617,0.835,0.657
storm,5,0.179,0.295,0.094,Naive Bayes,Oversampling,Backward Selection,176.000,34.000,565.000,101.000,0.838,0.635,0.822,0.619
storm,5,0.179,0.295,0.094,Naive Bayes,Undersampling,No Selection,167.000,19.000,580.000,110.000,0.898,0.603,0.833,0.626
storm,5,0.179,0.295,0.094,Naive Bayes,Undersampling,Backward Selection,176.000,32.000,567.000,101.000,0.846,0.635,0.820,0.624
storm,5,0.179,0.295,0.094,Naive Bayes,SMOTE,No Selection,175.000,16.000,583.000,102.000,0.916,0.632,0.834,0.660
storm,5,0.179,0.295,0.094,Naive Bayes,SMOTE,Backward Selection,173.000,28.000,571.000,104.000,0.861,0.625,0.823,0.624
storm,5,0.179,0.295,0.094,Random Forest,No Sampling,No Selection,180.000,12.000,587.000,97.000,0.938,0.650,0.863,0.686
storm,5,0.179,0.295,0.094,Random Forest,No Sampling,Backward Selection,180.000,34.000,565.000,97.000,0.841,0.650,0.852,0.632
storm,5,0.179,0.295,0.094,Random Forest,Oversampling,No Selection,182.000,25.000,574.000,95.000,0.879,0.657,0.862,0.660
storm,5,0.179,0.295,0.094,Random Forest,Oversampling,Backward Selection,179.000,34.000,565.000,98.000,0.840,0.646,0.844,0.628
storm,5,0.179,0.295,0.094,Random Forest,Undersampling,No Selection,185.000,38.000,561.000,92.000,0.830,0.668,0.851,0.638
storm,5,0.179,0.295,0.094,Random Forest,Undersampling,Backward Selection,188.000,36.000,563.000,89.000,0.839,0.679,0.844,0.652
storm,5,0.179,0.295,0.094,Random Forest,SMOTE,No Selection,183.000,33.000,566.000,94.000,0.847,0.661,0.854,0.644
storm,5,0.179,0.295,0.094,Random Forest,SMOTE,Backward Selection,186.000,35.000,564.000,91.000,0.842,0.671,0.846,0.648
storm,5,0.179,0.295,0.094,IBk,No Sampling,No Selection,156.000,19.000,580.000,121.000,0.891,0.563,0.723,0.590
storm,5,0.179,0.295,0.094,IBk,No Sampling,Backward Selection,174.000,29.000,570.000,103.000,0.857,0.628,0.785,0.625
storm,5,0.179,0.295,0.094,IBk,Oversampling,No Selection,160.000,9.000,590.000,117.000,0.947,0.578,0.742,0.628
storm,5,0.179,0.295,0.094,IBk,Oversampling,Backward Selection,172.000,30.000,569.000,105.000,0.851,0.621,0.774,0.616
storm,5,0.179,0.295,0.094,IBk,Undersampling,No Selection,169.000,32.000,567.000,108.000,0.841,0.610,0.739,0.601
storm,5,0.179,0.295,0.094,IBk,Undersampling,Backward Selection,180.000,34.000,565.000,97.000,0.841,0.650,0.799,0.632
storm,5,0.179,0.295,0.094,IBk,SMOTE,No Selection,159.000,27.000,572.000,118.000,0.855,0.574,0.728,0.580
storm,5,0.179,0.295,0.094,IBk,SMOTE,Backward Selection,176.000,34.000,565.000,101.000,0.838,0.635,0.785,0.619
storm,6,0.232,0.300,0.018,Naive Bayes,No Sampling,No Selection,42.000,95.000,859.000,26.000,0.307,0.618,0.891,0.352
storm,6,0.232,0.300,0.018,Naive Bayes,No Sampling,Backward Selection,20.000,100.000,854.000,48.000,0.167,0.294,0.768,0.140
storm,6,0.232,0.300,0.018,Naive Bayes,Oversampling,No Selection,44.000,95.000,859.000,24.000,0.317,0.647,0.898,0.369
storm,6,0.232,0.300,0.018,Naive Bayes,Oversampling,Backward Selection,20.000,93.000,861.000,48.000,0.177,0.294,0.764,0.150
storm,6,0.232,0.300,0.018,Naive Bayes,Undersampling,No Selection,42.000,95.000,859.000,26.000,0.307,0.618,0.891,0.352
storm,6,0.232,0.300,0.018,Naive Bayes,Undersampling,Backward Selection,20.000,107.000,847.000,48.000,0.157,0.294,0.769,0.130
storm,6,0.232,0.300,0.018,Naive Bayes,SMOTE,No Selection,48.000,100.000,854.000,20.000,0.324,0.706,0.902,0.389
storm,6,0.232,0.300,0.018,Naive Bayes,SMOTE,Backward Selection,20.000,102.000,852.000,48.000,0.164,0.294,0.768,0.137
storm,6,0.232,0.300,0.018,Random Forest,No Sampling,No Selection,52.000,109.000,845.000,16.000,0.323,0.765,0.812,0.398
storm,6,0.232,0.300,0.018,Random Forest,No Sampling,Backward Selection,48.000,143.000,811.000,20.000,0.251,0.706,0.784,0.302
storm,6,0.232,0.300,0.018,Random Forest,Oversampling,No Selection,53.000,113.000,841.000,15.000,0.319,0.779,0.816,0.396
storm,6,0.232,0.300,0.018,Random Forest,Oversampling,Backward Selection,47.000,149.000,805.000,21.000,0.240,0.691,0.771,0.285
storm,6,0.232,0.300,0.018,Random Forest,Undersampling,No Selection,55.000,138.000,816.000,13.000,0.285,0.809,0.839,0.358
storm,6,0.232,0.300,0.018,Random Forest,Undersampling,Backward Selection,50.000,174.000,780.000,18.000,0.223,0.735,0.778,0.268
storm,6,0.232,0.300,0.018,Random Forest,SMOTE,No Selection,52.000,130.000,824.000,16.000,0.286,0.765,0.801,0.353
storm,6,0.232,0.300,0.018,Random Forest,SMOTE,Backward Selection,47.000,161.000,793.000,21.000,0.226,0.691,0.783,0.267
storm,6,0.232,0.300,0.018,IBk,No Sampling,No Selection,49.000,152.000,802.000,19.000,0.244,0.721,0.777,0.294
storm,6,0.232,0.300,0.018,IBk,No Sampling,Backward Selection,41.000,153.000,801.000,27.000,0.211,0.603,0.634,0.238
storm,6,0.232,0.300,0.018,IBk,Oversampling,No Selection,45.000,119.000,835.000,23.000,0.274,0.662,0.716,0.324
storm,6,0.232,0.300,0.018,IBk,Oversampling,Backward Selection,36.000,155.000,799.000,32.000,0.188,0.529,0.613,0.199
storm,6,0.232,0.300,0.018,IBk,Undersampling,No Selection,55.000,174.000,780.000,13.000,0.240,0.809,0.765,0.298
storm,6,0.232,0.300,0.018,IBk,Undersampling,Backward Selection,49.000,175.000,779.000,19.000,0.219,0.721,0.706,0.260
storm,6,0.232,0.300,0.018,IBk,SMOTE,No Selection,50.000,185.000,769.000,18.000,0.213,0.735,0.770,0.253
storm,6,0.232,0.300,0.018,IBk,SMOTE,Backward Selection,41.000,166.000,788.000,27.000,0.198,0.603,0.627,0.220
storm,7,0.294,0.251,0.014,Naive Bayes,No Sampling,No Selection,37.000,36.000,918.000,31.000,0.507,0.544,0.904,0.490
storm,7,0.294,0.251,0.014,Naive Bayes,No Sampling,Backward Selection,24.000,39.000,915.000,44.000,0.381,0.353,0.827,0.323
storm,7,0.294,0.251,0.014,Naive Bayes,Oversampling,No Selection,40.000,34.000,920.000,28.000,0.541,0.588,0.916,0.531
storm,7,0.294,0.251,0.014,Naive Bayes,Oversampling,Backward Selection,21.000,35.000,919.000,47.000,0.375,0.309,0.829,0.296
storm,7,0.294,0.251,0.014,Naive Bayes,Undersampling,No Selection,38.000,39.000,915.000,30.000,0.494,0.559,0.904,0.488
storm,7,0.294,0.251,0.014,Naive Bayes,Undersampling,Backward Selection,25.000,43.000,911.000,43.000,0.368,0.368,0.829,0.323
storm,7,0.294,0.251,0.014,Naive Bayes,SMOTE,No Selection,44.000,40.000,914.000,24.000,0.524,0.647,0.918,0.546
storm,7,0.294,0.251,0.014,Naive Bayes,SMOTE,Backward Selection,23.000,43.000,911.000,45.000,0.348,0.338,0.828,0.297
storm,7,0.294,0.251,0.014,Random Forest,No Sampling,No Selection,58.000,4.000,950.000,10.000,0.935,0.853,0.995,0.885
storm,7,0.294,0.251,0.014,Random Forest,No Sampling,Backward Selection,57.000,12.000,942.000,11.000,0.826,0.838,0.986,0.820
storm,7,0.294,0.251,0.014,Random Forest,Oversampling,No Selection,55.000,8.000,946.000,13.000,0.873,0.809,0.992,0.829
storm,7,0.294,0.251,0.014,Random Forest,Oversampling,Backward Selection,52.000,17.000,937.000,16.000,0.754,0.765,0.975,0.742
storm,7,0.294,0.251,0.014,Random Forest,Undersampling,No Selection,65.000,41.000,913.000,3.000,0.613,0.956,0.989,0.725
storm,7,0.294,0.251,0.014,Random Forest,Undersampling,Backward Selection,58.000,69.000,885.000,10.000,0.457,0.853,0.976,0.556
storm,7,0.294,0.251,0.014,Random Forest,SMOTE,No Selection,62.000,9.000,945.000,6.000,0.873,0.912,0.995,0.884
storm,7,0.294,0.251,0.014,Random Forest,SMOTE,Backward Selection,57.000,21.000,933.000,11.000,0.731,0.838,0.984,0.764
storm,7,0.294,0.251,0.014,IBk,No Sampling,No Selection,58.000,4.000,950.000,10.000,0.935,0.853,0.997,0.885
storm,7,0.294,0.251,0.014,IBk,No Sampling,Backward Selection,57.000,12.000,942.000,11.000,0.826,0.838,0.991,0.820
storm,7,0.294,0.251,0.014,IBk,Oversampling,No Selection,53.000,9.000,945.000,15.000,0.855,0.779,0.980,0.803
storm,7,0.294,0.251,0.014,IBk,Oversampling,Backward Selection,52.000,19.000,935.000,16.000,0.732,0.765,0.972,0.730
storm,7,0.294,0.251,0.014,IBk,Undersampling,No Selection,65.000,41.000,913.000,3.000,0.613,0.956,0.982,0.725
storm,7,0.294,0.251,0.014,IBk,Undersampling,Backward Selection,62.000,75.000,879.000,6.000,0.453,0.912,0.963,0.566
storm,7,0.294,0.251,0.014,IBk,SMOTE,No Selection,62.000,9.000,945.000,6.000,0.873,0.912,0.997,0.884
